scenario,label,light_mode,seed,avg_travel,min_travel,max_travel,avg_wait,min_wait,max_wait,avg_reservation_wait,min_reservation_wait,max_reservation_wait,avg_utility,min_utility,max_utility,collisions,completed_trips,vehicles_spawned
VS-01,Multi-Vehicle Intersection Coordination,fixed,1000,26.50833333333341,2.899999999999835,86.09999999999924,12.466666666666697,0.0,42.30000000000033,12.25000000000003,0.0,42.30000000000033,0.801371593009626,0.7123222748815174,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1001,19.50000000000008,4.799999999999995,38.500000000000455,8.816666666666663,0.0,22.700000000000053,6.291666666666662,0.0,20.900000000000027,0.7941881848619604,0.6386206896551709,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1002,25.774999999999938,4.799999999999983,60.70000000000024,9.900000000000007,0.0,28.300000000000132,9.900000000000007,0.0,28.300000000000132,0.8091169890976931,0.6377622377622387,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1003,27.983333333333352,7.300000000000104,79.89999999999952,12.708333333333357,0.0,43.200000000000344,11.675000000000026,0.0,43.200000000000344,0.7803900805437222,0.6469166666666666,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1004,33.324999999999854,5.099999999999982,135.59999999999644,15.650000000000029,0.0,69.9000000000003,14.466666666666688,0.0,69.9000000000003,0.8045972643333618,0.5965248226950367,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1005,20.600000000000104,4.799999999999983,48.000000000000426,9.966666666666665,0.0,25.200000000000088,8.208333333333332,0.0,25.200000000000088,0.7752175761018406,0.6393965517241371,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1006,25.600000000000136,3.300000000000047,70.20000000000022,11.48333333333334,0.0,33.500000000000206,10.883333333333338,0.0,33.500000000000206,0.8036413704702249,0.6887786259541986,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1007,36.42499999999991,5.4999999999999805,135.59999999999644,19.016666666666637,0.0,82.89999999999957,18.766666666666637,0.0,82.89999999999957,0.7874881026237821,0.6726562500000013,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1008,36.52499999999947,7.099999999999982,198.7999999999924,17.008333333333226,0.0,99.09999999999864,16.691666666666553,0.0,99.09999999999864,0.8020623297483566,0.6631901840490805,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1009,17.900000000000112,2.899999999999835,36.20000000000028,8.374999999999988,0.0,20.800000000000026,7.391666666666658,0.0,20.800000000000026,0.8065744616971463,0.6745173745173753,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1010,27.458333333333258,6.299999999999642,85.29999999999896,13.40833333333339,0.0,46.100000000000385,12.858333333333391,0.0,46.100000000000385,0.7915945948424653,0.6574468085106387,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1011,26.058333333333376,4.799999999999983,48.100000000000634,13.083333333333345,0.0,33.3000000000002,11.675000000000013,0.0,33.3000000000002,0.7560546247774803,0.6107924528301875,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1012,19.93333333333346,2.899999999999835,43.200000000000436,9.183333333333332,0.0,23.500000000000064,8.574999999999998,0.0,23.500000000000064,0.8261588298765696,0.6686769230769241,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1013,19.57500000000013,4.799999999999985,44.50000000000043,9.750000000000002,0.0,24.500000000000078,9.750000000000002,0.0,24.500000000000078,0.8093794161274667,0.6488372093023262,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1014,15.141666666666751,2.899999999999835,28.300000000000182,5.824999999999989,0.0,12.499999999999972,5.824999999999989,0.0,12.499999999999972,0.8507509289170688,0.7049504950495045,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1015,25.108333333333537,2.899999999999835,50.20000000000062,11.900000000000018,0.0,40.1000000000003,11.283333333333355,0.0,40.1000000000003,0.8087394914362965,0.6079522862823047,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1016,22.516666666666747,5.299999999999699,66.89999999999995,8.800000000000006,0.0,32.30000000000019,7.716666666666657,0.0,19.300000000000004,0.8219873029965434,0.71,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1017,30.125000000000075,2.899999999999835,97.49999999999866,15.14166666666672,0.0,43.70000000000035,14.31666666666672,0.0,43.70000000000035,0.7850224635005562,0.6453684210526313,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1018,29.19166666666671,8.699999999999969,82.89999999999897,12.583333333333357,0.0,34.900000000000226,11.250000000000016,0.0,34.900000000000226,0.8029801497289933,0.663440366972481,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1019,21.691666666666645,4.799999999999983,65.69999999999995,7.966666666666687,0.0,35.70000000000024,5.358333333333333,0.0,23.700000000000067,0.8550860870481006,0.6465000000000011,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1020,24.383333333333496,5.299999999999699,59.10000000000052,8.83333333333333,0.0,22.40000000000005,8.316666666666665,0.0,22.40000000000005,0.8481742517113068,0.7311881188118815,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1021,15.200000000000058,4.7999999999999945,38.40000000000045,4.224999999999993,0.0,14.599999999999964,4.224999999999993,0.0,14.599999999999964,0.881247526045701,0.7268867924528304,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1022,29.34166666666658,4.799999999999985,109.49999999999798,11.6666666666667,0.0,50.80000000000045,11.125000000000034,0.0,50.80000000000045,0.8409418654078894,0.7358258258258263,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1023,36.01666666666684,2.899999999999835,73.89999999999955,20.783333333333434,0.0,45.20000000000037,16.808333333333405,0.0,43.200000000000344,0.7407656052210795,0.5649835526315806,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1024,27.499999999999883,3.300000000000047,116.09999999999741,12.641666666666708,0.0,58.40000000000056,10.191666666666682,0.0,39.40000000000029,0.8223467113358818,0.6703100775193801,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1025,27.541666666666618,3.300000000000047,80.09999999999926,13.72500000000005,0.0,44.30000000000036,13.72500000000005,0.0,44.30000000000036,0.7907336913562945,0.6850000000000008,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1026,19.075000000000113,2.900000000000041,49.000000000000625,10.675000000000017,0.0,38.90000000000028,9.95833333333335,0.0,38.90000000000028,0.7827714884721964,0.5484615384615367,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1027,25.591666666666793,4.799999999999983,45.60000000000043,12.875000000000028,0.0,32.20000000000019,11.191666666666686,0.0,32.20000000000019,0.7791296531866742,0.631353919239905,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1028,42.874999999999716,12.80000000000013,141.79999999999617,21.441666666666706,0.0,75.10000000000001,20.53333333333336,0.0,75.10000000000001,0.758930051055939,0.6488372093023262,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,1029,20.30000000000013,4.799999999999985,37.80000000000028,9.108333333333334,0.0,22.000000000000043,8.991666666666667,0.0,22.000000000000043,0.8281115105964748,0.6525597269624585,1.0,0,12,12
VS-02,Heavy Traffic Congestion,fixed,1000,31.974999999999504,4.800000000000068,126.69999999999412,17.03269230769235,0.0,70.0000000000003,14.473076923076956,0.0,49.10000000000043,0.7421332084386697,0.4681754385964886,0.9734693877551016,1,52,52
VS-02,Heavy Traffic Congestion,fixed,1001,35.088461538460976,2.899999999999835,90.6999999999976,19.888461538461613,0.0,54.2000000000005,16.484615384615434,0.0,49.600000000000435,0.7426096774277635,0.5237230769230775,1.0,1,52,52
VS-02,Heavy Traffic Congestion,fixed,1002,39.72499999999905,4.799999999999983,153.19999999999186,22.905769230769312,0.0,90.49999999999913,19.940384615384687,0.0,80.69999999999969,0.7387161144170857,0.5454263565891486,0.9757575757575758,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1003,28.37884615384594,4.800000000000068,77.29999999999916,15.10000000000001,0.0,45.70000000000038,13.31538461538462,0.0,45.70000000000038,0.740991877520073,0.6165053763440849,0.9868686868686876,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1004,31.45384615384567,4.5999999999997385,82.99999999999558,15.901923076923115,0.30000000000000004,51.100000000000456,14.215384615384643,0.30000000000000004,51.100000000000456,0.7543759585446506,0.5948175182481769,0.9315789473684212,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1005,25.715384615384373,4.799999999999983,110.99999999999476,12.936538461538476,0.0,58.20000000000056,11.651923076923083,0.0,58.20000000000056,0.7503214531455027,0.5011340206185548,0.9734693877551016,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1006,32.993181818181476,4.800000000000068,79.99999999999864,18.69545454545461,0.0,48.10000000000041,16.300000000000047,0.0,45.20000000000037,0.7378859395232962,0.6038661710037169,0.9734693877551016,0,44,52
VS-02,Heavy Traffic Congestion,fixed,1007,27.45384615384588,2.899999999999835,104.99999999999467,14.055769230769254,0.0,61.2000000000006,13.04230769230771,0.0,54.70000000000051,0.7642158150921384,0.6371584699453549,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1008,30.717307692307347,2.899999999999835,97.29999999999528,16.23461538461542,0.0,61.600000000000605,14.994230769230795,0.0,61.600000000000605,0.7501865389264956,0.6169914040114637,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1009,25.361538461538153,5.499999999999982,87.69999999999514,13.153846153846168,0.0,57.00000000000054,11.536538461538473,0.0,55.200000000000514,0.751732166834769,0.5240236686390525,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1010,27.04423076923051,4.800000000000068,128.1999999999938,13.6846153846154,0.0,60.60000000000059,12.553846153846163,0.0,60.60000000000059,0.7570944204669003,0.5400561797752798,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1011,36.96153846153771,4.799999999999983,160.8999999999939,22.123076923076972,0.0,93.69999999999895,19.35961538461541,0.0,93.59999999999896,0.7227671564133311,0.5798026315789461,0.9734693877551016,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1012,29.159615384615027,4.799999999999995,97.79999999999457,15.100000000000039,0.0,62.10000000000061,13.144230769230795,0.0,52.500000000000476,0.7644342280482662,0.5984112149532714,0.9868589743589741,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1013,30.98461538461489,4.799999999999985,90.99999999999716,16.648076923076964,0.0,45.60000000000038,14.846153846153879,0.0,45.60000000000038,0.7396659729019949,0.558571428571429,0.9767857142857139,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1014,25.386538461538326,4.699999999999733,105.29999999999744,12.423076923076934,0.0,52.60000000000048,11.384615384615394,0.0,42.20000000000033,0.7753481318968761,0.5353333333333347,0.9948979591836735,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1015,29.86730769230737,5.500000000000078,145.39999999999281,15.842307692307717,0.0,74.00000000000007,14.782692307692328,0.0,74.00000000000007,0.7532408488223091,0.6106854838709662,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1016,32.13076923076874,4.800000000000068,132.69999999999504,16.963461538461598,0.0,65.90000000000053,14.850000000000044,0.0,65.90000000000053,0.7564465515461932,0.5104115226337442,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1017,29.659615384615012,4.800000000000068,111.29999999999369,16.17884615384619,0.0,50.60000000000045,14.605769230769257,0.0,48.60000000000042,0.7501184165329597,0.6009845288326283,0.9948979591836735,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1018,29.076923076922775,5.499999999999886,145.59999999999246,14.088461538461562,0.0,63.80000000000064,12.503846153846174,0.0,63.80000000000064,0.7557785845825928,0.5507865168539318,0.981904761904763,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1019,28.571153846153468,4.799999999999983,106.29999999999771,15.869230769230816,0.0,57.90000000000055,13.45384615384618,0.0,57.90000000000055,0.7418436086685939,0.5545319148936165,0.9734693877551016,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1020,27.711538461538144,5.500000000000005,74.09999999999701,14.094230769230798,0.0,39.50000000000029,12.034615384615401,0.0,39.50000000000029,0.7564332155373327,0.48485355648535594,0.9882926829268299,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1021,36.70784313725424,4.7999999999999945,125.4999999999941,20.849019607843218,0.0,76.69999999999992,18.45294117647067,0.0,53.70000000000049,0.7452277552189892,0.5401428571428557,0.9734693877551016,0,51,52
VS-02,Heavy Traffic Congestion,fixed,1022,32.35192307692273,2.899999999999835,107.4999999999977,17.47500000000006,0.0,59.10000000000057,15.701923076923123,0.0,52.30000000000047,0.7517468907778242,0.6124060150375935,1.0,0,52,52
VS-02,Heavy Traffic Congestion,fixed,1023,44.696153846152974,6.900000000000098,169.19999999999084,27.09038461538466,2.1000000000000005,105.49999999999828,22.326923076923126,1.5000000000000002,105.49999999999828,0.6946708126704486,0.5549209486166008,0.9314917127071821,0,52,52
